84,Dhiego Lima VS Jesse Taylor,Dhiego Lima,Jesse Taylor,150,-170,7/7/2017 0:00,"Las Vegas, Nevada, USA", USA,Jesse Taylor,Welterweight,MALE,28,34,SUB
85,Jose Aldo VS Max Holloway,Jose Aldo,Max Holloway,-145,125,6/3/2017 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Max Holloway,Featherweight,MALE,30,25,KO/TKO
86,Stipe Miocic VS Junior Dos Santos,Stipe Miocic,Junior Dos Santos,-165,145,5/13/2017 0:00,"Dallas, Texas, USA", USA,Stipe Miocic,Heavyweight,MALE,34,33,KO/TKO
87,Joanna Jedrzejczyk VS Jessica Andrade,Joanna Jedrzejczyk,Jessica Andrade,-190,165,5/13/2017 0:00,"Dallas, Texas, USA", USA,Joanna Jedrzejczyk,Women's Strawweight,FEMALE,29,25,U-DEC
88,Demetrious Johnson VS Wilson Reis,Demetrious Johnson,Wilson Reis,-1100,700,4/15/2017 0:00,"Kansas City, Missouri, USA", USA,Demetrious Johnson,Flyweight,MALE,30,32,SUB
89,Daniel Cormier VS Anthony Johnson,Daniel Cormier,Anthony Johnson,120,-140,4/8/2017 0:00,"Buffalo, New York, USA", USA,Daniel Cormier,Light Heavyweight,MALE,38,33,SUB
90,Tyron Woodley VS Stephen Thompson,Tyron Woodley,Stephen Thompson,120,-140,3/4/2017 0:00,"Las Vegas, Nevada, USA", USA,Tyron Woodley,Welterweight,MALE,34,34,M-DEC
91,Holly Holm VS Germaine de Randamie,Holly Holm,Germaine de Randamie,100,-130,2/11/2017 0:00,"Brooklyn, New York, USA", USA,Germaine de Randamie,Women's Featherweight,FEMALE,35,32,U-DEC
92,Amanda Nunes VS Ronda Rousey,Amanda Nunes,Ronda Rousey,165,-190,12/30/2016 0:00,"Las Vegas, Nevada, USA", USA,Amanda Nunes,Women's Bantamweight,FEMALE,28,29,KO/TKO
93,Dominick Cruz VS Cody Garbrandt,Dominick Cruz,Cody Garbrandt,-245,205,12/30/2016 0:00,"Las Vegas, Nevada, USA", USA,Cody Garbrandt,Bantamweight,MALE,31,25,U-DEC
94,Max Holloway VS Anthony Pettis,Max Holloway,Anthony Pettis,-300,250,12/10/2016 0:00,"Toronto, Ontario, Canada", Canada,Max Holloway,Featherweight,MALE,25,29,KO/TKO
95,Demetrious Johnson VS Tim Elliott,Demetrious Johnson,Tim Elliott,-900,600,12/3/2016 0:00,"Las Vegas, Nevada, USA", USA,Demetrious Johnson,Flyweight,MALE,30,29,U-DEC
96,Eddie Alvarez VS Conor McGregor,Eddie Alvarez,Conor McGregor,140,-160,11/12/2016 0:00,"New York City, New York, USA", USA,Conor McGregor,Lightweight,MALE,32,28,KO/TKO
97,Joanna Jedrzejczyk VS Karolina Kowalkiewicz,Joanna Jedrzejczyk,Karolina Kowalkiewicz,-400,325,11/12/2016 0:00,"New York City, New York, USA", USA,Joanna Jedrzejczyk,Women's Strawweight,FEMALE,29,31,U-DEC
