107,Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,4/14/1980 0:00,3.91,0.65,0.45,2.62,0.42,0.78,0,Freight Train,Heavyweight,"Seattle, Washington",United States
108,Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,10/17/1988 0:00,3.13,0.37,0.42,0,0,0,0,,,,
109,Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,12/8/1981 0:00,2.44,0.34,0.63,3.36,0.38,0.68,0.7,The Carpenter,Featherweight,"Round Lake, Illinois",United States
110,Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,6/1/1991 0:00,2.11,0.54,0.32,2.69,0.28,0.5,0.7,,,,
111,Jason High,"5' 8""",155 lbs.,"73""",Southpaw,10/12/1981 0:00,1.28,0.42,0.48,2.36,0.63,0.37,2.8,The Kansas City Bandit,Lightweight,"Kansas City, Missouri",United States
112,Rico Altamirano,"5' 10""",170 lbs.,,,,0,0,0,0,0,0,0,,,,
113,Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,9/23/1990 0:00,2.43,0.42,0.56,3.5,0.29,0.6,1,,,,
114,Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1.56,0.2,0.75,0,0,0,0,,,,
115,Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,7/14/1971 0:00,0.89,0.37,0.47,0,0,0,0,,Heavyweight,New York,USA
116,Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,3/8/1988 0:00,2.73,0.4,0.56,1,0.33,0.5,0,,,,
117,Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,2/9/1987 0:00,3.92,0.45,0.65,2.12,0.33,0.93,0.2,The Messenger,Flyweight,"Phoenix, Arizona",United States
118,Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,3/2/1994 0:00,2.84,0.37,0.53,0,0,0,1.6,,,,
119,John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,9/26/1984 0:00,3.2,0.4,0.61,0.71,0.28,0.82,0,The Magician,Flyweight,"Albuquerque, New Mexico",United States
120,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,1/11/1984 0:00,4.32,0.41,0.55,2.92,0.36,0.92,0.5,,Lightweight,"Philadelphia, Pennsylvania",United States
121,Chris Cariaso,"5' 3""",125 lbs.,"64""",Southpaw,5/27/1981 0:00,3.35,0.43,0.61,1.11,0.39,0.57,0.8,Kamikaze,Flyweight,"San Francisco, California",United States
122,Anthony Alves,,,,,,0,0,0,0,0,0,0,,,,
123,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,6/10/1985 0:00,2.85,0.42,0.52,2.51,0.36,0.65,0.3,Puncher,Flyweight,Dagestan,Russia
124,Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,8/8/1988 0:00,0.5,0.46,0.3,0,0,0.53,0,,Light Heavyweight,"Rio de Janeiro, Rio de Janeiro",Brazil
125,Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,10/3/1983 0:00,3.73,0.41,0.62,0.71,0.6,0.63,0.3,Pitbull,Welterweight,"Fortaleza, Ceara",Brazil
126,Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,10/10/1990 0:00,2.02,0.45,0.59,0,0,1,1.9,,,,
127,Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,1/4/1991 0:00,3.09,0.47,0.5,1.48,0.54,0.75,1,,Welterweight,"Governador Valadares, Minas Gerais",Brazil
128,Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2.27,0.24,0.63,0,0,0.2,0,,,,
